271,Tuis,41
272,Tayutic,41
273,Santa Rosa,41
274,Tres Equis,41
275,La Isabel,41
276,Chirripó,41
277,Pacayas,42
278,Cervantes,42
279,Capellades,42
280,San Rafael,43
281,Cot,43
282,Potrero Cerrado,43
283,Cipreses,43
284,Santa Rosa,43
285,Tejar,44
286,San Isidro,44
287,Tobosi,44
288,Patio de Agua,44
289,Heredia,45
290,Mercedes,45
291,San Francisco,45
292,Ulloa,45
293,Vara Blanca,45
294,Barva,46
295,San Pedro,46
296,San Pablo,46
297,San Roque,46
298,Santa Lucía,46
299,San José de la Montaña,46
300,Santo Domingo,47
301,San Vicente,47
302,San Miguel,47
303,Paracito,47
304,Santo Tomás,47
305,Santa Rosa,47
306,Tures,47
307,Pará,47
308,Santa Bárbara,48
309,San Pedro,48
310,San Juan,48
311,Jesús,48
312,Santo Domingo,48
313,Purabá,48
314,San Rafael,49
315,San Josecito,49
316,Santiago,49
317,Ángeles,49
318,Concepción,49
319,San Isidro,50
320,San José,50
321,Concepción,50
322,San Francisco,50
323,San Antonio,51
324,La Ribera,51
325,La Asunción,51
326,San Joaquín,52
327,Barrantes,52
328,Llorente,52
329,San Pablo,53
330,Rincón de Sabanilla,53
331,Puerto Viejo,54
332,La Virgen,54
333,Horquetas,54
334,Llanuras del Gaspar,54
335,Cureña,54
336,Liberia,55
337,Cañas Dulces,55
338,Mayorga,55
339,Nacascolo,55
340,Curubandé,55
341,Nicoya,56
342,Mansión,56
343,San Antonio,56
344,Quebrada Honda,56
345,Sámara,56
346,Nosara,56
347,Belén de Nosarita,56
348,Santa Cruz,57
349,Bolsón,57
350,Veintisiete de Abril,57
351,Tempate,57
352,Cartagena,57
353,Cuajiniquil,57
354,Diriá,57
355,Cabo Velas,57
356,Tamarindo,57
357,Bagaces,58
358,La Fortuna,58
359,Mogote,58
360,Río Naranjo,58
361,Filadelfia,59
362,Palmira,59
363,Sardinal,59
364,Belén,59
365,Cañas,60
366,Palmira,60
367,San Miguel,60
368,Bebedero,60
369,Porozal,60
370,Las Juntas,61
371,Sierra,61
372,San Juan,61
373,Colorado,61
374,Tilarán,62
375,Quebrada Grande,62
376,Tronadora,62
377,Santa Rosa,62
378,Líbano,62
379,Tierras Morenas,62
380,Arenal,62
381,Carmona,63
382,Santa Rita,63
383,Zapotal,63
384,San Pablo,63
385,Porvenir,63
386,Bejuco,63
387,La Cruz,64
388,Santa Cecilia,64
389,La Garita,64
390,Santa Elena,64
391,Hojancha,65
392,Monte Romo,65
393,Puerto Carrillo,65
394,Huacas,65
395,Matambú,65
396,Puntarenas,66
397,Pitahaya,66
398,Chomes,66
399,Lepanto,66
400,Paquera,66
401,Manzanillo,66
402,Guacimal,66
403,Barranca,66
404,Monteverde,66
405,Isla del Coco,66
406,Cóbano,66
407,Chacarita,66
408,Chira,66
409,Acapulco,66
410,El Roble,66
411,Arancibia,66
412,Espíritu Santo,67
413,San Juan Grande,67
414,Macacona,67
415,San Rafael,67
416,San Jerónimo,67
417,Caldera,67
418,Buenos Aires,68
419,Volcán,68
420,Potrero Grande,68
421,Boruca,68
422,Pilas,68
423,Colinas,68
424,Chánguena,68
425,Biolley,68
426,Brunka,68
427,Miramar,69
428,La Unión,69
429,San Isidro,69
430,Cortés,70
431,Palmar,70
432,Sierpe,70
433,Bahía Ballena,70
434,Piedras Blancas,70
435,Bahía Drake,70
436,Quepos,71
437,Savegre,71
438,Naranjito,71
439,Golfito,72
440,Puerto Jiménez,72
441,Guaycará,72
442,Pavón,72
443,San Vito,73
444,Sabalito,73
445,Aguabuena,73
446,Limoncito,73
447,Pittier,73
448,Gutiérrez Brown,73
449,Parrita,74
450,Corredor,75
451,La Cuesta,75
452,Paso Canoas,75
453,Laurel,75
454,Jacó,76
455,Tárcoles,76
456,Limón,77
457,Valle La Estrella,77
458,Río Blanco,77
459,Matama,77
460,Guápiles,78
461,Jiménez,78
462,La Rita,78
463,Roxana,78
464,Cariari,78
465,Colorado,78
466,La Colonia,78
467,Siquirres,79
468,Pacuarito,79
469,Florida,79
470,Germania,79
471,Cairo,79
472,Alegría,79
473,Bratsi,80
474,Sixaola,80
475,Cahuita,80
476,Telire,80
477,Matina,81
478,Batán,81
479,Carrandi,81
480,Guácimo,82
481,Mercedes,82
482,Pocora,82
483,Río Jiménez,82
484,Duacarí,82
